BankName,BankId,Currency,BuyRate,SellRate,BbBuyRate,BbSellRate
Janata Bank Limited,57,JPY,      -,      -,0.77,0.7468
Social Islami Bank Limited,42,JPY,      -,      -,0.77,0.7468
National Bank of Pakistan,52,JPY,      -,      -,0.77,0.7468
SBACBL,30,AUD,,,60.3996,60.4164
NRB Bank Ltd.,24,AUD,,,60.3996,60.4164
The Farmers Bank Limited,34,AUD,,,60.3996,60.4164
Meghna Bank Ltd.,9,AUD,,,60.3996,60.4164
Agrani Bank Limited,58,AUD,,,60.3996,60.4164
Pubali Bank Limited,29,AUD,,,60.3996,60.4164
Rupali Bank Limited,59,AUD,,,60.3996,60.4164
Sonali Bank Limited,56,AUD,,,60.3996,60.4164
Uttara Bank Limited,38,AUD,,,60.3996,60.4164
Bangladesh Krishi Bank,63,AUD,,,60.3996,60.4164
BDBL,61,AUD,,,60.3996,60.4164
AB Bank Ltd.,13,AUD,,,60.3996,60.4164
The City Bank Ltd.,33,AUD,,,60.3996,60.4164
IFIC Bank Ltd.,16,AUD,,,60.3996,60.4164
Islami Bank Bangladesh Ltd.,39,AUD,,,60.3996,60.4164
National Bank Ltd.,22,AUD,,,60.3996,60.4164
United Commercial Bank Ltd.,37,AUD,,,60.3996,60.4164
Al-Arafa Islami Bank Ltd.,40,AUD,,,60.3996,60.4164
ICB Islamic Bank Ltd.,46,AUD,,,60.3996,60.4164
BASIC Bank Ltd.,60,AUD,,,60.3996,60.4164
South East Bank Ltd.,31,AUD,,,60.3996,60.4164
Dhaka Bank Ltd.,14,AUD,,,60.3996,60.4164
Eastern Bank Ltd.,11,AUD,,,60.3996,60.4164
Prime Bank Ltd.,28,AUD,,,60.3996,60.4164
NCCBL,23,AUD,,,60.3996,60.4164
Dutch-Bangla Bank Ltd.,15,AUD,,,60.3996,60.4164
Mercantile Bank Ltd.,18,AUD,,,60.3996,60.4164
Standard Bank Ltd.,32,AUD,,,60.3996,60.4164
One Bank Ltd.,27,AUD,,,60.3996,60.4164
EXIM Bank Ltd.,41,AUD,,,60.3996,60.4164
Bangladesh Commerce Bank Ltd.,12,AUD,,,60.3996,60.4164
Bank Asia Ltd.,10,AUD,,,60.3996,60.4164
The Premier Bank Ltd.,35,AUD,,,60.3996,60.4164
Mutual Trust Bank Ltd.,21,AUD,,,60.3996,60.4164
FSIBL,44,AUD,,,60.3996,60.4164
Trust Bank Ltd.,36,AUD,,,60.3996,60.4164
Standard Chartered Bank,53,AUD,,,60.3996,60.4164
Habib Bank Ltd.,50,AUD,,,60.3996,60.4164
Commercial Bank of Ceylon,49,AUD,,,60.3996,60.4164
State Bank of India,54,AUD,,,60.3996,60.4164
Woori Bank,55,AUD,,,60.3996,60.4164
Bank Alfalah Limited,47,AUD,,,60.3996,60.4164
Citi Bank N.A.,64,AUD,,,60.3996,60.4164
HSBC,51,AUD,,,60.3996,60.4164
Jamuna Bank Ltd.,17,AUD,,,60.3996,60.4164
Brac Bank Limited,8,AUD,,,60.3996,60.4164
Shahjalal Islami Bank Ltd.,43,AUD,,,60.3996,60.4164
NRB Commercial Bank Ltd.,25,AUD,,,60.3996,60.4164
Midland Bank Limited,19,AUD,,,60.3996,60.4164
Modhumoti Bank Limited,20,AUD,,,60.3996,60.4164
NRB Global Bank Limited,26,AUD,,,60.3996,60.4164
Union Bank Limited,45,AUD,,,60.3996,60.4164
Janata Bank Limited,57,AUD,,,60.3996,60.4164
Social Islami Bank Ltd.,42,AUD,,,60.3996,60.4164
National Bank of Pakistan,52,AUD,,,60.3996,60.4164
SBACBL,30,INR,,,1.1839,1.1842
NRB Bank Ltd.,24,INR,,,1.1839,1.1842
The Farmers Bank Limited,34,INR,,,1.1839,1.1842
Meghna Bank Ltd.,9,INR,,,1.1839,1.1842
Agrani Bank Limited,58,INR,,,1.1839,1.1842
Pubali Bank Limited,29,INR,,,1.1839,1.1842
Rupali Bank Limited,59,INR,,,1.1839,1.1842
Sonali Bank Limited,56,INR,,,1.1839,1.1842
Uttara Bank Limited,38,INR,,,1.1839,1.1842
Bangladesh Krishi Bank,63,INR,,,1.1839,1.1842
BDBL,61,INR,,,1.1839,1.1842
AB Bank Ltd.,13,INR,,,1.1839,1.1842
The City Bank Ltd.,33,INR,,,1.1839,1.1842
IFIC Bank Ltd.,16,INR,,,1.1839,1.1842
Islami Bank Bangladesh Ltd.,39,INR,,,1.1839,1.1842
National Bank Ltd.,22,INR,,,1.1839,1.1842
United Commercial Bank Ltd.,37,INR,,,1.1839,1.1842
Al-Arafa Islami Bank Ltd.,40,INR,,,1.1839,1.1842
ICB Islamic Bank Ltd.,46,INR,,,1.1839,1.1842
BASIC Bank Ltd.,60,INR,,,1.1839,1.1842
South East Bank Ltd.,31,INR,,,1.1839,1.1842
Dhaka Bank Ltd.,14,INR,,,1.1839,1.1842
Eastern Bank Ltd.,11,INR,,,1.1839,1.1842
Prime Bank Ltd.,28,INR,,,1.1839,1.1842
NCCBL,23,INR,,,1.1839,1.1842
Dutch-Bangla Bank Ltd.,15,INR,,,1.1839,1.1842
Mercantile Bank Ltd.,18,INR,,,1.1839,1.1842
Standard Bank Ltd.,32,INR,,,1.1839,1.1842
One Bank Ltd.,27,INR,,,1.1839,1.1842
EXIM Bank Ltd.,41,INR,,,1.1839,1.1842
Bangladesh Commerce Bank Ltd.,12,INR,,,1.1839,1.1842
Bank Asia Ltd.,10,INR,,,1.1839,1.1842
The Premier Bank Ltd.,35,INR,,,1.1839,1.1842
Mutual Trust Bank Ltd.,21,INR,,,1.1839,1.1842
FSIBL,44,INR,,,1.1839,1.1842
Trust Bank Ltd.,36,INR,,,1.1839,1.1842
Standard Chartered Bank,53,INR,,,1.1839,1.1842
Habib Bank Ltd.,50,INR,,,1.1839,1.1842
Commercial Bank of Ceylon,49,INR,,,1.1839,1.1842
State Bank of India,54,INR,,,1.1839,1.1842
Woori Bank,55,INR,,,1.1839,1.1842
Bank Alfalah Limited,47,INR,,,1.1839,1.1842
Citi Bank N.A.,64,INR,,,1.1839,1.1842
HSBC,51,INR,,,1.1839,1.1842
Jamuna Bank Ltd.,17,INR,,,1.1839,1.1842
Brac Bank Limited,8,INR,,,1.1839,1.1842
Shahjalal Islami Bank Ltd.,43,INR,,,1.1839,1.1842
